Place,Latitude,Longitude
Tokyo,35.6768601,139.7638947
Delhi,28.6273928,77.1716954
Shanghai,31.2312707,121.4700152
Sao Paulo,-23.5506507,-46.6333824
Mumbai (Bombay),19.054999,72.8692035
Ciudad de Mexico (Mexico City),19.4326296,-99.1331785
Beijing,40.190632,116.412144
Al-Qahirah (Cairo),30.0443879,31.2357257
New York,40.7127281,-74.0060152
Dhaka,23.7544529,90.393336
Karachi,24.8546842,67.0207055
Buenos Aires,-34.6083696,-58.4440583
Kolkata (Calcutta),22.5726459,88.3638953
Istanbul,41.006381,28.9758715
